mesh_7,mesh_code,NL2014count,NL2014sum,NL2014mean
"3036501","30365022",150,0,0
"3036502","30365027",150,0,0
"3036503","30365072",150,0,0
"3036504","30365077",150,0,0
"3622571","36225722",150,0.60040957480669,0.00400273049871127
"3622572","36225727",150,17.7906898632646,0.11860459908843
"3622573","36225772",150,0,0
"3622574","36225777",150,6.92127668485045,0.0461418445656697
"3623501","36235022",150,0.560310825705528,0.00373540550470352
"3623502","36235027",150,0,0
"3623503","36235072",150,13.1246804594994,0.0874978697299957
"3623504","36235077",150,0,0
"3623241","36232422",150,0,0
"3623242","36232427",150,0,0
"3623243","36232472",150,0,0
"3623244","36232477",150,0,0
"3623351","36233522",135,0,0
"3623352","36233527",135,0,0
"3623353","36233572",165,0,0
"3623354","36233577",165,0,0
"3623451","36234522",150,0,0
"3623452","36234527",150,1.31253727525473,0.00875024850169818
"3623453","36234572",150,0,0
"3623454","36234577",150,2.50306223332882,0.0166870815555255
"3623061","36230622",135,0,0
"3623062","36230627",135,0,0
"3623063","36230672",165,11.2259980477393,0.0680363518044804
"3623064","36230677",165,0,0
"3623361","36233622",135,0,0
"3623362","36233627",135,4.34490172192454,0.0321844571994411
"3623363","36233672",165,0,0
"3623364","36233677",165,0,0
"3623461","36234622",150,1.49223881959915,0.00994825879732768
"3623462","36234627",150,0,0
"3623463","36234672",150,7.29693571478128,0.0486462380985419
"3623464","36234677",150,0.457037955522537,0.00304691970348358
"3623561","36235622",150,2.42420344427228,0.0161613562951485
"3623562","36235627",150,0,0
"3623563","36235672",150,0,0
"3623564","36235677",150,2.02849100157619,0.0135232733438412
"3623271","36232722",150,0,0
"3623272","36232727",150,0,0
"3623273","36232772",150,0,0
"3623274","36232777",150,0,0
"3623371","36233722",135,11.0635131299496,0.0819519491107376
"3623372","36233727",135,0,0
"3623373","36233772",165,0,0
"3623374","36233777",165,4.80056377127767,0.0290943258865313
"3623471","36234722",150,0,0
"3623472","36234727",150,4.69629020243883,0.0313086013495922
"3623473","36234772",150,0.145437434315681,0.000969582895437876
"3623474","36234777",150,0,0
"3624201","36242022",150,0,0
"3624202","36242027",150,0,0
"3624203","36242072",150,3.30475484952331,0.022031698996822
"3624204","36242077",150,0,0
"3624301","36243022",135,0,0
"3624302","36243027",135,0,0
"3624303","36243072",165,0.524807598441839,0.00318065211176872
"3624304","36243077",165,10.6117011830211,0.064313340503158
"3624401","36244022",150,0,0
"3624402","36244027",150,25.735639847815,0.171570932318767
"3624403","36244072",150,0,0
"3624404","36244077",150,0.574305839836597,0.00382870559891065
"3624501","36245022",150,0,0
"3624502","36245027",150,0.293810233473778,0.00195873488982519
"3624503","36245072",150,0,0
"3624504","36245077",150,5.27335548494011,0.0351557032329341
"3624311","36243122",135,0,0
"3624312","36243127",135,0,0
"3624313","36243172",165,133.827646061778,0.811076642798655
"3624314","36243177",165,24.5905112922192,0.149033401771025
"3624411","36244122",150,460.916403204203,3.07277602136135
"3624412","36244127",150,125.728575885296,0.838190505901972
"3624413","36244172",150,23.3708851709962,0.155805901139975
"3624414","36244177",150,50.8740100115538,0.339160066743692
"3624511","36245122",150,6.33152713626623,0.0422101809084415
"3624512","36245127",150,14.1301365718246,0.0942009104788303
"3624513","36245172",150,12.3087066523731,0.0820580443491538
"3624514","36245177",150,6.52116410061717,0.0434744273374478
"3624611","36246122",135,0,0
"3624612","36246127",135,0.0636998265981674,0.000471850567393833
"3624613","36246172",165,0,0
"3624614","36246177",165,0,0
"3624421","36244222",150,1.00722099840641,0.00671480665604274
"3624422","36244227",150,0,0
"3624423","36244272",150,9.40369422733784,0.0626912948489189
"3624424","36244277",150,0,0
"3624521","36245222",150,7.07014022022486,0.0471342681348324
"3624522","36245227",150,0,0
"3624523","36245272",150,3.25791349261999,0.0217194232841333
"3624524","36245277",150,0,0
"3624621","36246222",135,5.1602051705122,0.0382237420037941
"3624622","36246227",135,0,0
"3624623","36246272",165,0.507231082767248,0.00307412777434696
"3624624","36246277",165,0.0902970805764198,0.000547255033796484
"3624721","36247222",150,0.506377581506968,0.00337585054337978
"3624722","36247227",150,1.82764495909214,0.0121842997272809
"3624723","36247272",150,0,0
"3624724","36247277",150,0,0
"3624751","36247522",150,0,0
"3624752","36247527",150,0,0
"3624753","36247572",150,0,0
"3624754","36247577",150,6.5663799457252,0.0437758663048347
"3631511","36315122",150,0,0
"3631512","36315127",150,0,0
"3631513","36315172",150,0,0
"3631514","36315177",150,0,0
"3641231","36412322",150,0,0
"3641232","36412327",150,0,0
"3641233","36412372",150,0,0
"3641234","36412377",150,0,0
"3653371","36533722",135,0,0
"3653372","36533727",135,5.20032335072756,0.038520913709093
"3653373","36533772",165,0,0
"3653374","36533777",165,1.05477717518806,0.00639258894053372
"3724051","37240522",150,0,0
"3724052","37240527",150,8.6001484580338,0.0573343230535587
"3724053","37240572",150,0,0
"3724054","37240577",150,0,0
"3724151","37241522",135,0,0
"3724152","37241527",135,0,0
"3724153","37241572",165,0,0
"3724154","37241577",165,0,0
"3725011","37250122",150,0,0
"3725012","37250127",150,0,0
"3725013","37250172",150,0,0
"3725014","37250177",150,0.402959927916527,0.00268639951944351
"3725111","37251122",135,0,0
"3725112","37251127",135,0,0
"3725113","37251172",165,43.4964063204825,0.2636145837605
"3725114","37251177",165,7.35299842059612,0.0445636267914917
"3725211","37252122",150,8.17843343690038,0.0545228895793358
"3725212","37252127",150,18.6545574069023,0.124363716046015
"3725213","37252172",150,0,0
"3725214","37252177",150,0.192411903291941,0.00128274602194627
"3725311","37253122",150,0,0
"3725312","37253127",150,3.59497777372599,0.0239665184915066
"3725313","37253172",150,0,0
"3725314","37253177",150,0,0
"3725021","37250222",150,0,0
"3725022","37250227",150,0,0
"3725023","37250272",150,56.0122582241893,0.373415054827929
"3725024","37250277",150,106.341761238873,0.70894507492582
"3725121","37251222",135,159.793064430356,1.18365232911375
"3725122","37251227",135,141.879748478532,1.05096109984098
"3725123","37251272",165,509.438368484378,3.08750526354168
"3725124","37251277",165,28.5486090183258,0.173021872838338
"3725221","37252222",150,15.8512895852327,0.105675263901552
"3725222","37252227",150,0.0625239089131355,0.000416826059420903
"3725223","37252272",150,15.8787949439138,0.105858632959425
"3725224","37252277",150,0,0
"3725321","37253222",150,1.29064927995205,0.00860432853301366
"3725322","37253227",150,0,0
"3725323","37253272",150,0,0
"3725324","37253277",150,0,0
"3725031","37250322",150,0,0
"3725032","37250327",150,0,0
"3725033","37250372",150,54.6213805377483,0.364142536918322
"3725034","37250377",150,3.77017490565777,0.0251344993710518
"3725131","37251322",135,34.4699979871511,0.255333318423342
"3725132","37251327",135,0,0
"3725133","37251372",165,0,0
"3725134","37251377",165,0,0
"3741021","37410222",150,0,0
"3741022","37410227",150,0,0
"3741023","37410272",150,0,0
"3741024","37410277",150,0,0
"3741121","37411222",135,0.777089394629002,0.0057562177379926
"3741122","37411227",135,43.8480308204889,0.324800228299918
"3741123","37411272",165,0,0
"3741124","37411277",165,0.843039803206921,0.005109332140648
"3741131","37411322",135,0,0
"3741132","37411327",135,0,0
"3741133","37411372",165,0,0
"3741134","37411377",165,0,0
"3823431","38234322",150,0,0
"3823432","38234327",150,0,0
"3823433","38234372",150,0,0
"3823434","38234377",150,0,0
"3823531","38235322",135,0,0
"3823532","38235327",135,0,0
"3823533","38235372",165,0,0
"3823534","38235377",165,0,0
"3823441","38234422",150,0,0
"3823442","38234427",150,0,0
"3823443","38234472",150,0,0
"3823444","38234477",150,0,0
"3823541","38235422",135,0,0
"3823542","38235427",135,0,0
"3823543","38235472",165,0,0
"3823544","38235477",165,0,0
"3823751","38237522",150,0,0
"3823752","38237527",150,0,0
"3823753","38237572",150,0,0
"3823754","38237577",150,0,0
"3824741","38247422",150,0,0
"3824742","38247427",150,0,0
"3824743","38247472",150,0,0
"3824744","38247477",150,0,0
"3831511","38315122",135,0,0
"3831512","38315127",135,0,0
"3831513","38315172",165,0,0
"3831514","38315177",165,18.84484937042,0.114211208305576
"3831611","38316122",150,0,0
"3831612","38316127",150,5.07381832785904,0.0338254555190603
"3831613","38316172",150,0,0
"3831614","38316177",150,0,0
"3831521","38315222",135,0,0
"3831522","38315227",135,0,0
"3831523","38315272",165,0,0
"3831524","38315277",165,0,0
"3831621","38316222",150,0,0
"3831622","38316227",150,0,0
"3831623","38316272",150,0,0
"3831624","38316277",150,0,0
"3831721","38317222",150,18.3830425664783,0.122553617109855
"3831722","38317227",150,2.95255872607231,0.0196837248404821
"3831723","38317272",150,0.209788303822279,0.00139858869214853
"3831724","38317277",150,0,0
"3841121","38411222",150,0,0
"3841122","38411227",150,0,0
"3841123","38411272",150,0,0
"3841124","38411277",150,0,0
"3926351","39263522",135,0,0
"3926352","39263527",135,0,0
"3926353","39263572",165,0,0
"3926354","39263577",165,0.167049989104271,0.00101242417638952
"3926451","39264522",150,0,0
"3926452","39264527",150,207.988713517785,1.3865914234519
"3926453","39264572",150,0,0
"3926454","39264577",150,2.14268153905869,0.0142845435937246
"3926361","39263622",135,0,0
"3926362","39263627",135,0,0
"3926363","39263672",165,50.4580307453871,0.30580624694174
"3926364","39263677",165,7.88618382811546,0.0477950535037301
"3926461","39264622",150,204.982646584511,1.36655097723007
"3926462","39264627",150,10.4678508937359,0.0697856726249059
"3926463","39264672",150,16.6458068937063,0.110972045958042
"3926464","39264677",150,0,0
"3926761","39267622",150,0,0
"3926762","39267627",150,0,0
"3926763","39267672",150,0,0
"3926764","39267677",150,0,0
"3926471","39264722",150,0,0
"3926472","39264727",150,0,0
"3926473","39264772",150,0,0
"3926474","39264777",150,0,0
"3927401","39274022",150,0,0
"3927402","39274027",150,0,0
"3927403","39274072",150,0,0
"3927404","39274077",150,0,0
"3927111","39271122",150,0,0
"3927112","39271127",150,0,0
"3927113","39271172",150,0,0
"3927114","39271177",150,0,0
"3927211","39272122",150,0,0
"3927212","39272127",150,0,0
"3927213","39272172",150,0,0
"3927214","39272177",150,0,0
"3927411","39274122",150,22.1566272974014,0.147710848649343
"3927412","39274127",150,0,0
"3927413","39274172",150,0.989222064614296,0.00659481376409531
"3927414","39274177",150,0,0
"3927611","39276122",135,0,0
"3927612","39276127",135,0,0
"3927613","39276172",165,0,0
"3927614","39276177",165,8.81861546635628,0.0534461543415532
"3927711","39277122",150,0,0
"3927712","39277127",150,2.5866841673851,0.0172445611159007
"3927713","39277172",150,0,0
"3927714","39277177",150,0,0
"3927121","39271222",150,0,0
"3927122","39271227",150,0,0
"3927123","39271272",150,0,0
"3927124","39271277",150,1.69899431243539,0.0113266287495693
"3927221","39272222",150,5.2025254368782,0.0346835029125214
"3927222","39272227",150,16.6069930158556,0.11071328677237
"3927223","39272272",150,3.33840773999691,0.0222560515999794
"3927224","39272277",150,0,0
"3927321","39273222",135,0,0
"3927322","39273227",135,0,0
"3927323","39273272",165,0,0
"3927324","39273277",165,0,0
"3927231","39272322",150,0.748498812317848,0.00498999208211899
"3927232","39272327",150,0,0
"3927233","39272372",150,0,0
"3927234","39272377",150,0,0
"3927331","39273322",135,0,0
"3927332","39273327",135,0,0
"3927333","39273372",165,0,0
"3927334","39273377",165,0,0
"3927141","39271422",150,0,0
"3927142","39271427",150,1.18668332695961,0.00791122217973073
"3927143","39271472",150,0,0
"3927144","39271477",150,1.36644604802132,0.00910964032014211
"3927241","39272422",150,0,0
"3927242","39272427",150,11.1758192181587,0.0745054614543915
"3927243","39272472",150,0,0
"3927244","39272477",150,9.24604380130768,0.0616402920087179
"3927341","39273422",135,0,0
"3927342","39273427",135,0,0
"3927343","39273472",165,0,0
"3927344","39273477",165,0,0
"3927051","39270522",135,0,0
"3927052","39270527",135,0,0
"3927053","39270572",165,53.4362242221832,0.323855904376868
"3927054","39270577",165,62.1426979601383,0.376622411879626
"3927151","39271522",150,2009.80581316352,13.3987054210901
"3927152","39271527",150,2271.09543061256,15.1406362040838
"3927153","39271572",150,1046.92216801643,6.97948112010956
"3927154","39271577",150,1514.1743273735,10.0944955158234
"3927251","39272522",148,2510.96451830864,16.9659764750584
"3927252","39272527",149,2450.2131690979,16.4443836852208
"3927253","39272572",150,2081.8480758667,13.8789871724447
"3927254","39272577",150,3709.25917959213,24.7283945306142
"3927351","39273522",135,141.471925377846,1.04794018798404
"3927352","39273527",135,2304.44079947472,17.0699318479609
"3927353","39273572",165,2.79698830842972,0.0169514442935134
"3927354","39273577",165,287.239765644073,1.74084706450954
"3927451","39274522",150,0,0
"3927452","39274527",150,493.458402097225,3.28972268064817
"3927453","39274572",150,0,0
"3927454","39274577",150,1191.28203824162,7.94188025494417
"3927551","39275522",150,0,0
"3927552","39275527",150,378.681945919991,2.52454630613327
"3927553","39275572",150,0,0
"3927554","39275577",150,0,0
"3927161","39271622",150,117.314341515303,0.782095610102018
"3927162","39271627",150,0,0
"3927163","39271672",150,588.484880983829,3.9232325398922
"3927164","39271677",150,57.6645726561546,0.384430484374364
"3927261","39272622",150,690.332023322582,4.60221348881722
"3927262","39272627",150,64.9032035768032,0.432688023845355
"3927263","39272672",150,1436.98694211245,9.57991294741631
"3927264","39272677",150,15.0051320791245,0.10003421386083
"3927361","39273622",135,1869.63098359108,13.849118396971
"3927362","39273627",135,127.548544585705,0.944804033968184
"3927363","39273672",165,3959.71193766594,23.9982541676724
"3927364","39273677",165,1387.10712218285,8.40670983141119
"3927461","39274622",150,3478.31451463699,23.1887634309133
"3927462","39274627",150,3129.39501047134,20.8626334031423
"3927463","39274672",150,883.890039801598,5.89260026534398
"3927464","39274677",150,2426.86478334665,16.1790985556444
"3927561","39275622",150,435.788706988096,2.90525804658731
"3927562","39275627",150,1465.66589158773,9.77110594391823
"3927563","39275672",150,10.7092611789703,0.0713950745264689
"3927564","39275677",150,281.033653110266,1.87355768740177
"3927661","39276622",135,0,0
"3927662","39276627",135,37.2577405273914,0.275983263165862
"3927663","39276672",165,0,0
"3927664","39276677",165,0,0
"3927761","39277622",150,0,0
"3927762","39277627",150,0,0
"3927763","39277672",150,0,0
"3927764","39277677",150,87.0014201402664,0.580009467601776
"3927171","39271722",150,0,0
"3927172","39271727",150,0,0
"3927173","39271772",150,2.6202217489481,0.0174681449929873
"3927174","39271777",150,0,0
"3927271","39272722",150,0,0
"3927272","39272727",150,0,0
