mesh_code,land_ratio,ratio_clas
"30365022",0.000,less_half
"30365027",0.000,less_half
"30365072",0.000,less_half
"30365077",0.000,less_half
"36225722",0.000,less_half
"36225727",0.000,less_half
"36225772",0.000,less_half
"36225777",0.000,less_half
"36235022",0.000,less_half
"36235027",0.000,less_half
"36235072",0.000,less_half
"36235077",0.000,less_half
"36232422",0.000,less_half
"36232427",0.000,less_half
"36232472",0.000,less_half
"36232477",0.000,less_half
"36233522",0.000,less_half
"36233527",0.000,less_half
"36233572",0.000,less_half
"36233577",0.000,less_half
"36234522",0.000,less_half
"36234527",0.000,less_half
"36234572",0.000,less_half
"36234577",0.000,less_half
"36230622",0.000,less_half
"36230627",0.000,less_half
"36230672",0.000,less_half
"36230677",0.000,less_half
"36233622",0.000,less_half
"36233627",0.000,less_half
"36233672",0.000,less_half
"36233677",0.000,less_half
"36234622",0.000,less_half
"36234627",0.000,less_half
"36234672",0.000,less_half
"36234677",0.000,less_half
"36235622",0.000,less_half
"36235627",0.000,less_half
"36235672",0.000,less_half
"36235677",0.000,less_half
"36232722",0.000,less_half
"36232727",0.000,less_half
"36232772",0.000,less_half
"36232777",0.000,less_half
"36233722",0.000,less_half
"36233727",0.000,less_half
"36233772",0.000,less_half
"36233777",0.000,less_half
"36234722",0.000,less_half
"36234727",0.000,less_half
"36234772",0.000,less_half
"36234777",0.000,less_half
"36242022",0.000,less_half
"36242027",0.000,less_half
"36242072",0.000,less_half
"36242077",0.000,less_half
"36243022",0.000,less_half
"36243027",0.000,less_half
"36243072",0.000,less_half
"36243077",0.000,less_half
"36244022",0.000,less_half
"36244027",0.000,less_half
"36244072",0.000,less_half
"36244077",0.000,less_half
"36245022",0.000,less_half
"36245027",0.000,less_half
"36245072",0.000,less_half
"36245077",0.000,less_half
"36243122",0.000,less_half
"36243127",0.000,less_half
"36243172",0.000,less_half
"36243177",0.000,less_half
"36244122",0.000,less_half
"36244127",0.000,less_half
"36244172",0.000,less_half
"36244177",0.000,less_half
"36245122",0.000,less_half
"36245127",0.000,less_half
"36245172",0.000,less_half
"36245177",0.000,less_half
"36246122",0.000,less_half
"36246127",0.000,less_half
"36246172",0.000,less_half
"36246177",0.000,less_half
"36244222",0.000,less_half
"36244227",0.000,less_half
"36244272",0.000,less_half
"36244277",0.000,less_half
"36245222",0.000,less_half
"36245227",0.000,less_half
"36245272",0.000,less_half
"36245277",0.000,less_half
"36246222",0.000,less_half
"36246227",0.000,less_half
"36246272",0.000,less_half
"36246277",0.000,less_half
"36247222",0.000,less_half
"36247227",0.000,less_half
"36247272",0.000,less_half
"36247277",0.000,less_half
"36247522",0.000,less_half
"36247527",0.000,less_half
"36247572",0.000,less_half
"36247577",0.000,less_half
"36315122",0.000,less_half
"36315127",0.000,less_half
"36315172",0.000,less_half
"36315177",0.000,less_half
"36412322",0.000,less_half
"36412327",0.000,less_half
"36412372",0.000,less_half
"36412377",0.000,less_half
"36533722",0.000,less_half
"36533727",0.000,less_half
"36533772",0.000,less_half
"36533777",0.000,less_half
"37240522",0.000,less_half
"37240527",0.000,less_half
"37240572",0.000,less_half
"37240577",0.000,less_half
"37241522",0.000,less_half
"37241527",0.000,less_half
"37241572",0.000,less_half
"37241577",0.000,less_half
"37250122",0.000,less_half
"37250127",0.000,less_half
"37250172",0.000,less_half
"37250177",0.000,less_half
"37251122",0.000,less_half
"37251127",0.000,less_half
"37251172",0.000,less_half
"37251177",0.000,less_half
"37252122",0.000,less_half
"37252127",0.000,less_half
"37252172",0.000,less_half
"37252177",0.000,less_half
"37253122",0.000,less_half
"37253127",0.000,less_half
"37253172",0.000,less_half
"37253177",0.000,less_half
"37250222",0.000,less_half
"37250227",0.000,less_half
"37250272",0.000,less_half
"37250277",0.000,less_half
"37251222",0.000,less_half
"37251227",0.000,less_half
"37251272",0.000,less_half
"37251277",0.000,less_half
"37252222",0.000,less_half
"37252227",0.000,less_half
"37252272",0.000,less_half
"37252277",0.000,less_half
"37253222",0.000,less_half
"37253227",0.000,less_half
"37253272",0.000,less_half
"37253277",0.000,less_half
"37250322",0.000,less_half
"37250327",0.000,less_half
"37250372",0.000,less_half
"37250377",0.000,less_half
"37251322",0.000,less_half
"37251327",0.000,less_half
"37251372",0.000,less_half
"37251377",0.000,less_half
"37410222",0.000,less_half
"37410227",0.000,less_half
"37410272",0.000,less_half
"37410277",0.000,less_half
"37411222",0.000,less_half
"37411227",0.000,less_half
"37411272",0.000,less_half
"37411277",0.000,less_half
"37411322",0.000,less_half
"37411327",0.000,less_half
"37411372",0.000,less_half
"37411377",0.000,less_half
"38234322",0.000,less_half
"38234327",0.000,less_half
"38234372",0.000,less_half
"38234377",0.000,less_half
"38235322",0.000,less_half
"38235327",0.000,less_half
"38235372",0.000,less_half
"38235377",0.000,less_half
"38234422",0.000,less_half
"38234427",0.000,less_half
"38234472",0.000,less_half
"38234477",0.000,less_half
"38235422",0.000,less_half
"38235427",0.000,less_half
"38235472",0.000,less_half
"38235477",0.000,less_half
"38237522",0.000,less_half
"38237527",0.000,less_half
"38237572",0.000,less_half
"38237577",0.000,less_half
"38247422",0.000,less_half
"38247427",0.000,less_half
"38247472",0.000,less_half
"38247477",0.000,less_half
"38315122",0.000,less_half
"38315127",0.000,less_half
"38315172",0.000,less_half
"38315177",0.000,less_half
"38316122",0.000,less_half
"38316127",0.000,less_half
"38316172",0.000,less_half
"38316177",0.000,less_half
"38315222",0.000,less_half
"38315227",0.000,less_half
"38315272",0.000,less_half
"38315277",0.000,less_half
"38316222",0.000,less_half
"38316227",0.000,less_half
"38316272",0.000,less_half
"38316277",0.000,less_half
"38317222",0.000,less_half
"38317227",0.000,less_half
"38317272",0.000,less_half
"38317277",0.000,less_half
"38411222",0.000,less_half
"38411227",0.000,less_half
"38411272",0.000,less_half
"38411277",0.000,less_half
"39263522",0.000,less_half
"39263527",0.000,less_half
"39263572",0.000,less_half
"39263577",0.000,less_half
"39264522",0.000,less_half
"39264527",0.000,less_half
"39264572",0.000,less_half
"39264577",0.000,less_half
"39263622",0.000,less_half
"39263627",0.000,less_half
"39263672",0.000,less_half
"39263677",0.000,less_half
"39264622",0.000,less_half
"39264627",0.000,less_half
"39264672",0.000,less_half
"39264677",0.000,less_half
"39267622",0.000,less_half
"39267627",0.000,less_half
"39267672",0.000,less_half
"39267677",0.000,less_half
"39264722",0.000,less_half
"39264727",0.000,less_half
"39264772",0.000,less_half
"39264777",0.000,less_half
"39274022",0.000,less_half
"39274027",0.000,less_half
"39274072",0.000,less_half
"39274077",0.000,less_half
"39271122",0.000,less_half
"39271127",0.000,less_half
"39271172",0.000,less_half
"39271177",0.000,less_half
"39272122",0.000,less_half
"39272127",0.000,less_half
"39272172",0.000,less_half
"39272177",0.000,less_half
"39274122",0.000,less_half
"39274127",0.000,less_half
"39274172",0.000,less_half
"39274177",0.000,less_half
"39276122",0.000,less_half
"39276127",0.000,less_half
"39276172",0.000,less_half
"39276177",0.000,less_half
"39277122",0.000,less_half
"39277127",0.000,less_half
"39277172",0.000,less_half
"39277177",0.000,less_half
"39271222",0.000,less_half
"39271227",0.000,less_half
"39271272",0.000,less_half
"39271277",0.000,less_half
"39272222",0.000,less_half
"39272227",0.000,less_half
"39272272",0.000,less_half
"39272277",0.000,less_half
"39273222",0.000,less_half
"39273227",0.000,less_half
"39273272",0.000,less_half
"39273277",0.000,less_half
"39272322",0.000,less_half
"39272327",0.000,less_half
"39272372",0.000,less_half
"39272377",0.000,less_half
"39273322",0.000,less_half
"39273327",0.000,less_half
"39273372",0.000,less_half
"39273377",0.000,less_half
"39271422",0.000,less_half
"39271427",0.000,less_half
"39271472",0.000,less_half
"39271477",0.000,less_half
"39272422",0.000,less_half
"39272427",0.000,less_half
"39272472",0.000,less_half
"39272477",0.000,less_half
"39273422",0.000,less_half
"39273427",0.000,less_half
"39273472",0.000,less_half
"39273477",0.000,less_half
"39270522",0.000,less_half
"39270527",0.000,less_half
"39270572",0.000,less_half
"39270577",0.000,less_half
"39271522",0.000,less_half
"39271527",0.000,less_half
"39271572",0.000,less_half
"39271577",0.000,less_half
"39272522",0.000,less_half
"39272527",0.000,less_half
"39272572",0.000,less_half
"39272577",0.000,less_half
"39273522",0.000,less_half
"39273527",0.000,less_half
"39273572",0.000,less_half
"39273577",0.000,less_half
"39274522",0.000,less_half
"39274527",0.000,less_half
"39274572",0.000,less_half
"39274577",0.000,less_half
"39275522",0.000,less_half
"39275527",0.000,less_half
"39275572",0.000,less_half
"39275577",0.000,less_half
"39271622",0.000,less_half
"39271627",0.000,less_half
"39271672",0.000,less_half
"39271677",0.000,less_half
"39272622",0.000,less_half
"39272627",0.000,less_half
"39272672",0.000,less_half
"39272677",0.000,less_half
"39273622",0.000,less_half
"39273627",0.000,less_half
"39273672",0.000,less_half
"39273677",0.000,less_half
"39274622",0.000,less_half
"39274627",0.000,less_half
"39274672",0.000,less_half
"39274677",0.000,less_half
"39275622",0.000,less_half
"39275627",0.000,less_half
"39275672",0.000,less_half
"39275677",0.000,less_half
"39276622",0.000,less_half
"39276627",0.000,less_half
"39276672",0.000,less_half
"39276677",0.000,less_half
"39277622",0.000,less_half
"39277627",0.000,less_half
"39277672",0.000,less_half
"39277677",0.000,less_half
"39271722",0.000,less_half
"39271727",0.000,less_half
"39271772",0.000,less_half
"39271777",0.000,less_half
"39272722",0.000,less_half
"39272727",0.000,less_half
"39272772",0.000,less_half
"39272777",0.000,less_half
"39273722",0.000,less_half
"39273727",0.000,less_half
"39273772",0.000,less_half
"39273777",0.000,less_half
"39274722",0.000,less_half
"39274727",0.000,less_half
"39274772",0.000,less_half
"39274777",0.000,less_half
"39275722",0.000,less_half
"39275727",0.000,less_half
"39275772",0.000,less_half
"39275777",0.000,less_half
"39276722",0.000,less_half
"39276727",0.000,less_half
"39276772",0.000,less_half
"39276777",0.000,less_half
"39277722",0.000,less_half
"39277727",0.000,less_half
"39277772",0.000,less_half
"39277777",0.000,less_half
"39284022",0.000,less_half
"39284027",0.000,less_half
"39284072",0.000,less_half
"39284077",0.000,less_half
"39285022",0.000,less_half
"39285027",0.000,less_half
"39285072",0.000,less_half
"39285077",0.000,less_half
"39286022",0.000,less_half
"39286027",0.000,less_half
"39286072",0.000,less_half
"39286077",0.000,less_half
"39287022",0.000,less_half
"39287027",0.000,less_half
"39287072",0.000,less_half
"39287077",0.000,less_half
"39286122",0.000,less_half
"39286127",0.000,less_half
"39286172",0.000,less_half
"39286177",0.000,less_half
"39287122",0.000,less_half
"39287127",0.000,less_half
"39287172",0.000,less_half
"39287177",0.000,less_half
"39287222",0.000,less_half
"39287227",0.000,less_half
"39287272",0.000,less_half
"39287277",0.000,less_half
"39427022",0.000,less_half
"39427027",0.000,less_half
"39427072",0.000,less_half
"39427077",0.000,less_half
"39426122",0.000,less_half
"39426127",0.000,less_half
"39426172",0.000,less_half
"39426177",0.000,less_half
"39427122",0.000,less_half
"39427127",0.000,less_half
"39427172",0.000,less_half
"39427177",0.000,less_half
"40270522",0.000,less_half
"40270527",0.000,less_half
"40270572",0.000,less_half
"40270577",0.000,less_half
"40270622",0.000,less_half
"40270627",0.000,less_half
"40270672",0.000,less_half
"40270677",0.000,less_half
"40270722",0.000,less_half
"40270727",0.000,less_half
"40270772",0.000,less_half
"40270777",0.000,less_half
"40272722",0.000,less_half
"40272727",0.000,less_half
"40272772",0.000,less_half
"40272777",0.000,less_half
"40273722",0.000,less_half
"40273727",0.000,less_half
"40273772",0.000,less_half
"40273777",0.000,less_half
"40274722",0.000,less_half
"40274727",0.000,less_half
"40274772",0.000,less_half
"40274777",0.000,less_half
"40275722",0.000,less_half
"40275727",0.000,less_half
"40275772",0.000,less_half
"40275777",0.000,less_half
"40280022",0.000,less_half
"40280027",0.000,less_half
"40280072",0.000,less_half
"40280077",0.000,less_half
"40284022",0.000,less_half
"40284027",0.000,less_half
"40284072",0.000,less_half
"40284077",0.000,less_half
"40285022",0.000,less_half
"40285027",0.000,less_half
"40285072",0.000,less_half
"40285077",0.000,less_half
"40280122",0.000,less_half
"40280127",0.000,less_half
"40280172",0.000,less_half
"40280177",0.000,less_half
"40281122",0.000,less_half
"40281127",0.000,less_half
"40281172",0.000,less_half
"40281177",0.000,less_half
