mesh_7,mesh_code,LU14_AG,LU14_FO,LU14_WS,LU14_BU,LU14_TR,LU14_OT,LU14_WT,LU14_SH,LU14_OC,LU14_GO
4028431,40284322,0.76329331,0.065180103,0.013722127,0.092624357,0,0.034305317,0,0.008576329,0.015437393,0.006861063
4028432,40284327,0.783018868,0.08490566,0.004716981,0.058962264,0,0.011792453,0.023584906,0.023584906,0.009433962,0
4028433,40284372,0.692893401,0.098984772,0.003807107,0.129441624,0,0.040609137,0.002538071,0.007614213,0.024111675,0
4028434,40284377,0.851311953,0.078717201,0,0.037900875,0,0,0,0.011661808,0.020408163,0
4028743,40287472,0.586956522,0.195652174,0.02173913,0.086956522,0,0.043478261,0,0,0.065217391,0
4028744,40287477,0.245901639,0.081967213,0.016393443,0.262295082,0,0.229508197,0,0,0.163934426,0
4128041,41280422,0.606100796,0.332228117,0.0066313,0.033156499,0,0.00795756,0.00132626,0.00795756,0.00464191,0
4128042,41280427,0.561108778,0.337253255,0.011759765,0.061318774,0,0.016799664,0.008819824,0.000839983,0.001679966,0.000419992
4128043,41280472,0.788514129,0.118505014,0.041020966,0.02461258,0,0.008204193,0.001823154,0.003646308,0.013673655,0
4128044,41280477,0.710182768,0.204699739,0.038642298,0.020887728,0,0.012010444,0.006266319,0.000522193,0.006788512,0
4128051,41280522,0.735135135,0.059459459,0.048648649,0.075675676,0,0.016216216,0,0,0.064864865,0
4128053,41280572,0.773208723,0.055451713,0.0105919,0.112149533,0,0.020560748,0.004361371,0.003115265,0.017445483,0.003115265
4128151,41281522,0.822894168,0.008639309,0.047516199,0.097192225,0,0.008639309,0.002159827,0,0.012958963,0
4128152,41281527,0.686800895,0.033557047,0.082774049,0.03803132,0,0.102908277,0.029082774,0.006711409,0.020134228,0
4128373,41283772,0.75,0,0.208333333,0,0,0,0,0,0.041666667,0
4128374,41283777,0.779220779,0.090909091,0.077922078,0,0,0,0,0.025974026,0.025974026,0
4128471,41284722,0.744162437,0.129949239,0.028426396,0.060913706,0,0.010152284,0.01319797,0.002030457,0.011167513,0
4128472,41284727,0.618958411,0.295241664,0.013488198,0.043087299,0,0.014237542,0.007493443,0.005620082,0.001873361,0
4128473,41284772,0.720853081,0.225118483,0.017535545,0.027962085,0,0.003791469,0.000947867,0,0.003791469,0
4128474,41284777,0.448029891,0.525475543,0.014945652,0.005434783,0,0.00169837,0.000679348,0,0,0.003736413
4128571,41285722,0.587912088,0.308791209,0.026373626,0.020879121,0,0.008241758,0.042307692,0.001098901,0.004395604,0
4128572,41285727,0.117267165,0.868116927,0.005098572,0.001019714,0,0.001699524,0.006798097,0,0,0
