mesh_7,mesh_code,LU76_AG,LU76_FO,LU76_WS,LU76_BU,LU76_TR,LU76_OT,LU76_WT,LU76_SH,LU76_SE
4028431,40284322,0.682675815,0.145797599,0.025728988,0.09948542,0,0.005145798,0,0.02915952,0.012006861
4028432,40284327,0.730496454,0.11820331,0.014184397,0.080378251,0,0,0,0.028368794,0.028368794
4028433,40284372,0.779336735,0.067602041,0.016581633,0.073979592,0,0.025510204,0,0.012755102,0.024234694
4028434,40284377,0.794721408,0.102639296,0.023460411,0.038123167,0,0,0,0.014662757,0.026392962
4028743,40287472,0.29787234,0.212765957,0,0.042553191,0,0.319148936,0,0,0.127659574
4028744,40287477,0.370967742,0,0.193548387,0.080645161,0,0.177419355,0,0.016129032,0.161290323
4128041,41280422,0.452191235,0.484727756,0.006640106,0.036520584,0,0.009960159,0,0,0.009960159
4128042,41280427,0.439629785,0.474547749,0.005889777,0.067311737,0,0.00252419,0.000420698,0.008413967,0.001262095
4128043,41280472,0.489031079,0.455210238,0.010968921,0.026508227,0,0.00274223,0,0.00274223,0.012797075
4128044,41280477,0.460375391,0.460896767,0.02189781,0.047445255,0,0,0,0.004692388,0.004692388
4128051,41280522,0.702702703,0.118918919,0.027027027,0.113513514,0,0.010810811,0,0.005405405,0.021621622
4128053,41280572,0.731464174,0.137071651,0.005607477,0.090342679,0,0.003738318,0.001869159,0.018691589,0.011214953
4128151,41281522,0.787096774,0.096774194,0.004301075,0.077419355,0,0.006451613,0,0.002150538,0.025806452
4128152,41281527,0.66367713,0.179372197,0.029147982,0.024663677,0,0.073991031,0.011210762,0.011210762,0.006726457
4128373,41283772,0.955555556,0,0,0,0,0,0,0.022222222,0.022222222
4128374,41283777,0.9,0.0125,0,0,0,0,0,0.0125,0.075
4128471,41284722,0.678172589,0.211167513,0.030456853,0.048730964,0,0.006091371,0,0.018274112,0.007106599
4128472,41284727,0.574531835,0.379775281,0.01011236,0.024344569,0,0.000374532,0.000749064,0.007865169,0.002247191
4128473,41284772,0.528855251,0.318353832,0.107379376,0.042100284,0,0,0,0.002365184,0.000946074
4128474,41284777,0.317579055,0.664399864,0.010540632,0.007140428,0,0.00034002,0,0,0
4128571,41285722,0.290889133,0.621844127,0.044456641,0.029637761,0,0.003841932,0.003293085,0.001646542,0.004390779
4128572,41285727,0.039402174,0.956861413,0.001019022,0.002717391,0,0,0,0,0
4128573,41285772,0.391852163,0.512809744,0.02897942,0.03947921,0,0.009659807,0.00251995,0.001679966,0.01301974
4128574,41285777,0.358036574,0.602021174,0.001443696,0.029355149,0,0,0.001924928,0.003849856,0.003368624
4128671,41286722,0.278660369,0.656934307,0.002576213,0.032632031,0,0.001717475,0.000858738,0.001288106,0.025332761
4128672,41286727,0.375090514,0.567704562,0.002896452,0.015930485,0,0.001448226,0.006517017,0.023895728,0.006517017
4128673,41286772,0.236494598,0.599039616,0.075630252,0.024009604,0,0,0,0.033613445,0.031212485
4128674,41286777,0.175040519,0.74554295,0,0.008103728,0,0,0,0.056726094,0.01458671
4128772,41287727,0,0,0,0,0,0,0,1,0
4129401,41294022,0.693877551,0.040816327,0.06122449,0,0,0,0,0.183673469,0.020408163
4129403,41294072,0.568862275,0.286427146,0.01996008,0.05489022,0,0.016966068,0.006986028,0.00998004,0.035928144
4129501,41295022,0.457804332,0.479462285,0.01493652,0.030619866,0,0.002240478,0.001493652,0.009708738,0.00373413
4129503,41295072,0.574074074,0.425925926,0,0,0,0,0,0,0
4129723,41297272,0,0,0,0,0,0,0,0,1
4229011,42290122,0.089908257,0.779816514,0.088073394,0,0,0,0,0.00733945,0.034862385
