mesh_7,mesh_code,ELEmean,TRImean
"4028431","40284322",,
"4028432","40284327",,
"4028433","40284372",,
"4028434","40284377",,
"4028743","40287472",,
"4028744","40287477",,
"4128041","41280422",,
"4128042","41280427",,
"4128043","41280472",,
"4128044","41280477",,
"4128051","41280522",,
"4128053","41280572",,
"4128151","41281522",,
"4128152","41281527",,
"4128373","41283772",,
"4128374","41283777",,
"4128471","41284722",,
"4128472","41284727",,
"4128473","41284772",,
"4128474","41284777",,
"4128571","41285722",,
"4128572","41285727",,
"4128573","41285772",,
"4128574","41285777",,
"4128671","41286722",,
"4128672","41286727",,
"4128673","41286772",,
"4128674","41286777",,
"4128772","41287727",,
"4129401","41294022",,
"4129403","41294072",,
"4129501","41295022",,
"4129503","41295072",,
"4129723","41297272",,
"4229011","42290122",,
"4229012","42290127",,
"4229013","42290172",,
"4229014","42290177",,
"4229111","42291122",,
"4229112","42291127",,
"4229113","42291172",,
"4229114","42291177",,
"4229211","42292122",,
"4229212","42292127",,
"4229213","42292172",,
"4229214","42292177",,
"4229311","42293122",,
"4229312","42293127",,
"4229313","42293172",,
"4229314","42293177",,
"4229021","42290222",,
"4229023","42290272",,
"4229024","42290277",,
"4229121","42291222",,
"4229122","42291227",,
"4229123","42291272",,
"4229124","42291277",,
"4229221","42292222",,
"4229222","42292227",,
"4229223","42292272",,
"4229224","42292277",,
"4229321","42293222",,
"4229322","42293227",,
"4229323","42293272",,
"4229324","42293277",,
"4229421","42294222",,
"4229422","42294227",,
"4229131","42291322",,
"4229133","42291372",,
"4229231","42292322",,
"4229232","42292327",,
"4229233","42292372",,
"4229234","42292377",,
"4229331","42293322",,
"4229332","42293327",,
"4229333","42293372",,
"4229334","42293377",,
"4229431","42294322",,
"4229432","42294327",,
"4229433","42294372",,
"4229434","42294377",,
"4229343","42293472",,
"4229441","42294422",,
"4229442","42294427",,
"4229443","42294472",,
"4229444","42294477",,
"4229541","42295422",,
"4229542","42295427",,
"4229543","42295472",,
"4229544","42295477",,
"4229453","42294572",,
"4229454","42294577",,
"4229551","42295522",,
"4229552","42295527",,
"4229553","42295572",,
"4229554","42295577",,
"4229651","42296522",,
"4229652","42296527",,
"4229371","42293722",,
"4229372","42293727",,
"4229373","42293772",,
"4229374","42293777",,
"4229472","42294727",,
"4230303","42303072",,
"4230401","42304022",,
"4230403","42304072",,
"4328174","43281777",,
"4328272","43282727",,
"4329103","43291072",,
"4329201","43292022",,
"4329513","43295172",,
"4329514","43295177",,
"4329624","43296277",,
"4429142","44291427",22.000000000000000,70.076299285888666
"4429144","44291477",1.000000000000000,42.000000000000000
"4429441","44294422",43.000000000000000,0.000000000000000
"4429643","44296472",,
"4429644","44296477",,
"4429352","44293527",389.500000000000000,863.212231445312568
"4429353","44293572",,
"4429354","44293577",328.714285714285722,552.365564682904392
"4429452","44294527",,298.484497070312500
"4429564","44295677",191.333333333333343,205.904281616210938
"4429662","44296627",327.909090909090935,654.000679016113281
"4429664","44296677",16.644530342254011,
"4429573","44295772",28.399999999999999,79.131023406982422
"4429671","44296722",45.857142857142854,197.205563408987871
"4429771","44297722",268.286406568585392,324.562965927690811
"4429772","44297727",42.999999999999993,332.737121582031250
"4429773","44297772",181.000000000000000,246.140739440917997
"4429774","44297777",,332.737121582031250
"4529071","45290722",,
"4530003","45300072",,
"4530511","45305122",98.344582864481183,
"4530512","45305127",264.533333333333360,426.574953079223633
"4530513","45305172",100.000000000000000,100.431327819824219
"4530514","45305177",213.500000000000000,276.661647796630859
"4530521","45305222",65.242930320001918,79.039613288431667
